Year,Demand (in millions),Injector Type,Material Type,Volume Produced,Reusable,Recyclable,Usage Frequency,Efficacy rate,Carbon Footprint,Recyclable Type
2018,64.81105508,Pen,Type1 Plastic,188735.5049,0,FALSE,'Yearly',1,250478.6267,Non-Recyclable
2016,147.1819652,Pen,Type2 Plastic,449721.2093,0,FALSE,'Monthly',1,519975.471,Non-Recyclable
2016,50.23737601,Patch Injector,Type2 Plastic,393309.9052,0,FALSE,'Weekly',0,555109.0507,Non-Recyclable
2011,55.18705031,Patch Injector,Recyclable Plastic,57360.05,0,TRUE,'Weekly',1,37722.31426,Recyclable
2014,51.14039423,Pen,Type1 Plastic,787383.0639,0,FALSE,'Monthly',1,956001.3121,Non-Recyclable
2020,101.6637305,Pen,Type2 Plastic,188181.0697,1,FALSE,'Monthly',1,233966.5673,Non-Recyclable
2025,336.3566489,Autoinjector,Recyclable Plastic,1033858.846,0,TRUE,'Monthly',1,689258.7735,Recyclable
2026,260.9315403,Autoinjector,Recyclable Plastic,72160.18943,0,TRUE,'Weekly',1,44225.03043,Recyclable
2028,642.533099,Autoinjector,Type2 Plastic,1310383.208,0,FALSE,'Weekly',1,1820336.596,Non-Recyclable
2014,79.95918139,Patch Injector,Type1 Plastic,804059.244,0,FALSE,'Daily',1,1162604.657,Non-Recyclable
2012,58.60128782,Autoinjector,Type1 Plastic,891655.8849,0,FALSE,'Yearly',1,1246083.29,Non-Recyclable
2020,107.6952006,Pen,Recyclable Plastic,785016.7249,0,TRUE,'Monthly',1,472548.6059,Recyclable
2022,347.7964625,Pen,Recyclable Plastic,1098659.827,0,TRUE,'Monthly',1,715642.0672,Recyclable
2013,67.35413475,Autoinjector,Type2 Plastic,998481.5597,0,FALSE,'Weekly',1,1540532.798,Non-Recyclable
2021,70.2750093,Autoinjector,Type1 Plastic,575171.5765,0,FALSE,'Yearly',1,771602.1135,Non-Recyclable
2028,241.311209,Autoinjector,Type2 Plastic,1443207.747,0,FALSE,'Monthly',1,2293148.642,Non-Recyclable
2027,97.19516511,Pen,Type1 Plastic,746412.9886,0,FALSE,'Weekly',1,1163162.349,Non-Recyclable
2029,131.4816587,Patch Injector,Type2 Plastic,624153.8975,0,FALSE,'Weekly',1,890100.2135,Non-Recyclable
2010,50,Pen,Type1 Plastic,338288,0,FALSE,'Monthly',0,484468.2744,Non-Recyclable
2025,202.7226787,Autoinjector,Recyclable Plastic,1914872.954,0,TRUE,'Monthly',1,1285881.966,Recyclable
2023,146.9298935,Pen,Type1 Plastic,1394105.149,1,FALSE,'Daily',1,1874008.619,Non-Recyclable
2019,139.8796909,Patch Injector,Recyclable Plastic,884975.6005,0,TRUE,'Weekly',1,653150.5024,Recyclable
2012,57.37008501,Patch Injector,Type2 Plastic,315969.7896,0,FALSE,'Monthly',1,451888.5652,Non-Recyclable
2013,62.06469374,Patch Injector,Type1 Plastic,812126.8492,1,FALSE,'Weekly',1,1298440.552,Non-Recyclable
2019,71.50111623,Patch Injector,Recyclable Plastic,943862.1204,0,TRUE,'Daily',1,690575.158,Recyclable
2028,471.6717547,Patch Injector,Recyclable Plastic,1993604.825,0,TRUE,'Weekly',1,1400023.126,Recyclable
2010,50,Autoinjector,Type2 Plastic,512594,1,FALSE,'Monthly',1,742964.5216,Non-Recyclable
2011,56.09972769,Autoinjector,Type1 Plastic,21610.6,0,FALSE,'Weekly',0,32293.09129,Non-Recyclable
2023,65.03511949,Patch Injector,Recyclable Plastic,1424712.747,0,TRUE,'Weekly',1,1140979.647,Recyclable
2024,267.9472296,Pen,Type1 Plastic,1260648.539,0,FALSE,'Weekly',1,1771236.251,Non-Recyclable
2020,262.4520021,Pen,Type1 Plastic,199815.9166,0,FALSE,'Weekly',1,269348.9713,Non-Recyclable
2030,223.1069219,Patch Injector,Type1 Plastic,128269.4221,0,FALSE,'Daily',0,195162.9564,Non-Recyclable
2023,234.3701046,Pen,Recyclable Plastic,542460.3644,0,TRUE,'Yearly',0,364638.7466,Recyclable
